#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-02-11 09:31:27.487
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 50 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.1023875,-0.0009097832415225584
-0.1023625,-0.0005777697384529688
-0.1023375,-0.0005777697384529688
-0.1023125,-0.0009097832415225584
-0.1022875,-0.0009097832415225584
-0.1022625,-0.0009097832415225584
-0.1022375,-0.0009097832415225584
-0.1022125,-0.0009097832415225584
-0.1021875,-0.0009097832415225584
-0.1021625,-0.0009097832415225584
-0.1021375,-0.0009097832415225584
-0.1021125,-0.0005777697384529688
-0.1020875,-0.0005777697384529688
-0.1020625,-0.0005777697384529688
-0.1020375,-0.0009097832415225584
-0.1020125,-0.0005777697384529688
-0.1019875,-0.0009097832415225584
-0.1019625,-0.0009097832415225584
-0.1019375,-0.0009097832415225584
-0.1019125,-0.0005777697384529688
-0.1018875,-0.0005777697384529688
-0.1018625,-0.0005777697384531198
-0.1018375,-0.0009097832415225584
-0.1018125,-0.0005777697384529688
-0.1017875,-0.0005777697384529688
-0.1017625,-0.0005777697384529688
-0.1017375,-0.0005777697384529688
-0.1017125,-0.0005777697384529688
-0.1016875,-0.0009097832415225584
-0.1016625,-0.0009097832415225584
-0.1016375,-0.0005777697384529688
-0.1016125,-0.0009097832415225584
-0.1015875,-0.0009097832415225584
-0.1015625,-0.0009097832415225584
-0.1015375,-0.0005777697384529688
-0.1015125,-0.0009097832415225584
-0.1014875,-0.0009097832415225584
-0.1014625,-0.0005777697384529688
-0.1014375,-0.0005777697384529688
-0.1014125,-0.0009097832415225584
-0.1013875,-0.0005777697384529688
-0.1013625,-0.0005777697384529688
-0.1013375,-0.0009097832415225584
-0.1013125,-0.0005777697384529688
-0.1012875,-0.0005777697384529688
-0.1012625,-0.0005777697384529688
-0.1012375,-0.0005777697384529688
-0.1012125,-0.0005777697384529688
-0.1011875,-0.0005777697384529688
-0.1011625,-0.0005777697384529688
-0.1011375,-0.0005777697384529688
-0.1011125,-0.0005777697384529688
-0.1010875,-0.0005777697384529688
-0.1010625,-0.0009097832415225584
-0.1010375,-0.0009097832415225584
-0.1010125,-0.0009097832415225584
-0.1009875,-0.0005777697384531197
-0.1009625,-0.0009097832415225584
-0.1009375,-0.0009097832415225584
-0.1009125,-0.0005777697384529688
-0.1008875,-0.0009097832415225584
-0.1008625,-0.0009097832415225584
-0.1008375,-0.0009097832415225584
-0.1008125,-0.0009097832415225584
-0.1007875,-0.0009097832415225584
-0.1007625,-0.0009097832415225584
-0.1007375,-0.0005777697384531197
-0.1007125,-0.0009097832415225584
-0.1006875,-0.0005777697384529688
-0.1006625,-0.0009097832415225584
-0.1006375,-0.0009097832415225584
-0.1006125,-0.0005777697384531197
-0.1005875,-0.0009097832415225584
-0.1005625,-0.0009097832415225584
-0.1005375,-0.0005777697384529688
-0.1005125,-0.0009097832415225584
-0.1004875,-0.0005777697384531197
-0.1004625,-0.0005777697384529688
-0.1004375,-0.0009097832415225584
-0.1004125,-0.0009097832415225584
-0.1003875,-0.0009097832415225584
-0.1003625,-0.0005777697384531197
-0.1003375,-0.0005777697384529688
-0.1003125,-0.0005777697384529688
-0.1002875,-0.0009097832415225584
-0.1002625,-0.0009097832415225584
-0.1002375,-0.0009097832415225584
-0.1002125,-0.0009097832415225584
-0.1001875,-0.0009097832415225584
-0.1001625,-0.0009097832415225584
-0.1001375,-0.0009097832415225584
-0.1001125,-0.0009097832415225584
-0.1000875,-0.0009097832415225584
-0.1000625,-0.0009097832415225584
-0.1000375,-0.0009097832415225584
-0.1000125,-0.0009097832415225584
-0.09998750000000001,-0.0009097832415225584
-0.0999625,-0.0005777697384529688
-0.0999375,-0.0009097832415225584
-0.0999125,-0.0009097832415225584
-0.0998875,-0.0009097832415225584
-0.09986250000000001,-0.0009097832415225584
-0.0998375,-0.0009097832415225584
-0.0998125,-0.0009097832415225584
-0.0997875,-0.0009097832415225584
-0.0997625,-0.0009097832415225584
-0.09973750000000001,-0.0009097832415225584
-0.0997125,-0.0009097832415224074
-0.0996875,-0.0005777697384529688
-0.0996625,-0.0009097832415225584
-0.0996375,-0.0009097832415225584
-0.09961250000000001,-0.0009097832415225584
-0.0995875,-0.0005777697384531198
-0.0995625,-0.0009097832415225584
-0.0995375,-0.0009097832415225584
-0.0995125,-0.0005777697384529688
-0.09948750000000001,-0.0009097832415225584
-0.0994625,-0.0005777697384531198
-0.0994375,-0.0009097832415225584
-0.0994125,-0.0009097832415225584
-0.0993875,-0.0009097832415225584
-0.09936250000000001,-0.0009097832415225584
-0.0993375,-0.0009097832415225584
-0.0993125,-0.0009097832415225584
-0.0992875,-0.0009097832415225584
-0.0992625,-0.0009097832415225584
-0.09923750000000001,-0.0009097832415225584
-0.0992125,-0.0009097832415225584
-0.0991875,-0.0009097832415225584
-0.0991625,-0.0009097832415225584
-0.0991375,-0.0009097832415225584
-0.09911250000000001,-0.0009097832415225584
-0.0990875,-0.0009097832415225584
-0.0990625,-0.0009097832415225584
-0.0990375,-0.0009097832415225584
-0.0990125,-0.0009097832415225584
-0.09898750000000001,-0.0009097832415225584
-0.09896249999999999,-0.0009097832415225584
-0.0989375,-0.0009097832415225584
-0.0989125,-0.0009097832415225584
-0.0988875,-0.0009097832415225584
-0.09886250000000001,-0.0009097832415225584
-0.09883749999999999,-0.0009097832415225584
-0.0988125,-0.0009097832415225584
-0.0987875,-0.0009097832415225584
-0.0987625,-0.0009097832415225584
-0.09873750000000001,-0.0009097832415225584
-0.09871249999999999,-0.0005777697384531198
-0.0986875,-0.0009097832415225584
-0.0986625,-0.0009097832415225584
-0.0986375,-0.0005777697384529688
-0.09861250000000001,-0.0005777697384529688
-0.09858749999999999,-0.0009097832415225584
-0.0985625,-0.0009097832415225584
-0.0985375,-0.0009097832415225584
-0.0985125,-0.0009097832415225584
-0.09848750000000001,-0.0009097832415225584
-0.09846249999999999,-0.0009097832415225584
-0.0984375,-0.0009097832415225584
-0.0984125,-0.0005777697384529688
-0.0983875,-0.0009097832415225584
-0.09836250000000001,-0.0009097832415225584
-0.09833750000000001,-0.0009097832415225584
-0.0983125,-0.0009097832415225584
-0.0982875,-0.0009097832415225584
-0.0982625,-0.0005777697384529688
-0.09823750000000001,-0.0005777697384529688
-0.09821250000000001,-0.0009097832415224075
-0.0981875,-0.0009097832415225584
-0.0981625,-0.0005777697384529688
-0.0981375,-0.0005777697384529688
-0.09811250000000001,-0.0005777697384529688
-0.09808750000000001,-0.0005777697384529688
-0.0980625,-0.0009097832415225584
-0.0980375,-0.0005777697384529688
-0.0980125,-0.0005777697384529688
-0.09798750000000001,-0.0005777697384529688
-0.09796250000000001,-0.0005777697384529688
-0.0979375,-0.0005777697384529688
-0.0979125,-0.0005777697384529688
-0.0978875,-0.0009097832415225584
-0.09786250000000001,-0.0005777697384529688
-0.09783750000000001,-0.0005777697384529688
-0.0978125,-0.0005777697384529688
-0.0977875,-0.0005777697384529688
-0.0977625,-0.0005777697384529688
-0.0977375,-0.0005777697384529688
-0.09771250000000001,-0.0005777697384529688
-0.0976875,-0.0005777697384529688
-0.0976625,-0.0005777697384529688
-0.0976375,-0.0005777697384529688
-0.0976125,-0.0005777697384529688
-0.09758750000000001,-0.0009097832415224075
-0.0975625,-0.0005777697384529688
-0.0975375,-0.0009097832415225584
-0.0975125,-0.0005777697384529688
-0.0974875,-0.0009097832415225584
-0.09746250000000001,-0.0005777697384531197
-0.0974375,-0.0005777697384529688
-0.0974125,-0.0005777697384529688
-0.0973875,-0.0005777697384529688
-0.0973625,-0.0009097832415225584
-0.09733750000000001,-0.0005777697384531197
-0.0973125,-0.0005777697384529688
-0.0972875,-0.0005777697384529688
-0.0972625,-0.0009097832415225584
-0.0972375,-0.0005777697384529688
-0.09721250000000001,-0.0009097832415224075
-0.0971875,-0.0005777697384529688
-0.0971625,-0.0009097832415225584
-0.0971375,-0.0005777697384529688
-0.0971125,-0.0009097832415225584
-0.09708750000000001,-0.0009097832415225584
-0.0970625,-0.0005777697384529688
-0.0970375,-0.0005777697384529688
-0.0970125,-0.0005777697384529688
-0.0969875,-0.0005777697384529688
-0.09696250000000001,-0.0005777697384529688
-0.0969375,-0.0005777697384529688
-0.0969125,-0.0005777697384529688
-0.0968875,-0.0009097832415225584
-0.0968625,-0.0005777697384529688
-0.09683750000000001,-0.0009097832415225584
-0.0968125,-0.0005777697384529688
-0.0967875,-0.0005777697384529688
-0.0967625,-0.0005777697384529688
-0.0967375,-0.0005777697384529688
-0.09671250000000001,-0.0005777697384529688
-0.0966875,-0.0005777697384531198
-0.0966625,-0.0009097832415225584
-0.0966375,-0.0005777697384529688
-0.0966125,-0.0005777697384529688
-0.09658750000000001,-0.0005777697384529688
-0.0965625,-0.0005777697384531198
-0.0965375,-0.0009097832415225584
-0.0965125,-0.0005777697384529688
-0.0964875,-0.0005777697384529688
-0.09646250000000001,-0.0009097832415225584
-0.0964375,-0.0005777697384529688
-0.0964125,-0.0005777697384529688
-0.0963875,-0.0009097832415225584
-0.0963625,-0.0009097832415225584
-0.09633750000000001,-0.0009097832415225584
-0.0963125,-0.0009097832415225584
-0.0962875,-0.0009097832415225584
-0.0962625,-0.0009097832415225584
-0.0962375,-0.0009097832415225584
-0.09621250000000001,-0.0009097832415225584
-0.0961875,-0.0005777697384529688
-0.0961625,-0.0005777697384529688
-0.0961375,-0.0005777697384529688
-0.0961125,-0.0005777697384529688
-0.09608750000000001,-0.0005777697384529688
-0.0960625,-0.0005777697384531198
-0.0960375,-0.0009097832415225584
-0.0960125,-0.0005777697384529688
-0.0959875,-0.0009097832415225584
-0.09596250000000001,-0.0009097832415225584
-0.0959375,-0.0009097832415225584
-0.0959125,-0.0009097832415225584
-0.0958875,-0.0009097832415225584
-0.0958625,-0.0005777697384529688
-0.09583750000000001,-0.0005777697384529688
-0.09581249999999999,-0.0005777697384529688
-0.0957875,-0.0005777697384529688
-0.0957625,-0.0005777697384529688
-0.0957375,-0.0009097832415225584
-0.09571250000000001,-0.0009097832415225584
-0.09568749999999999,-0.0005777697384531198
-0.0956625,-0.0009097832415225584
-0.0956375,-0.0009097832415225584
-0.0956125,-0.0009097832415225584
-0.09558750000000001,-0.0009097832415225584
-0.09556249999999999,-0.0009097832415224074
-0.0955375,-0.0005777697384529688
-0.0955125,-0.0005777697384529688
-0.0954875,-0.0005777697384529688
-0.09546250000000001,-0.0005777697384529688
-0.09543749999999999,-0.0005777697384531198
-0.0954125,-0.0009097832415225584
-0.0953875,-0.0009097832415225584
-0.0953625,-0.0005777697384529688
-0.09533750000000001,-0.0005777697384529688
-0.09531249999999999,-0.0005777697384531198
-0.0952875,-0.0009097832415225584
-0.0952625,-0.0009097832415225584
-0.0952375,-0.0005777697384529688
-0.09521250000000001,-0.0005777697384529688
-0.09518750000000001,-0.0005777697384529688
-0.0951625,-0.0009097832415225584
-0.0951375,-0.0005777697384529688
-0.0951125,-0.0005777697384529688
-0.09508750000000001,-0.0005777697384529688
-0.09506250000000001,-0.0005777697384529688
-0.0950375,-0.0005777697384529688
-0.0950125,-0.0005777697384529688
-0.0949875,-0.0005777697384529688
-0.09496250000000001,-0.0009097832415225584
-0.09493750000000001,-0.0005777697384531197
-0.0949125,-0.0005777697384529688
-0.0948875,-0.0005777697384529688
-0.0948625,-0.0005777697384529688
-0.09483750000000001,-0.0005777697384529688
-0.09481250000000001,-0.0005777697384529688
-0.0947875,-0.0005777697384529688
-0.0947625,-0.0005777697384529688
-0.0947375,-0.0005777697384529688
-0.09471250000000001,-0.0005777697384529688
-0.09468750000000001,-0.0005777697384529688
-0.0946625,-0.0005777697384529688
-0.0946375,-0.0005777697384529688
-0.0946125,-0.0005777697384529688
-0.0945875,-0.0005777697384529688
-0.09456250000000001,-0.0005777697384529688
-0.0945375,-0.0009097832415225584
-0.0945125,-0.0009097832415225584
-0.0944875,-0.0009097832415225584
-0.0944625,-0.0005777697384529688
-0.09443750000000001,-0.0005777697384529688
-0.0944125,-0.0009097832415225584
-0.0943875,-0.0009097832415225584
-0.0943625,-0.0005777697384529688
-0.0943375,-0.0009097832415225584
-0.09431250000000001,-0.0005777697384531197
-0.0942875,-0.0009097832415225584
-0.0942625,-0.0009097832415225584
-0.0942375,-0.0009097832415225584
-0.0942125,-0.0009097832415225584
-0.09418750000000001,-0.0009097832415225584
-0.0941625,-0.0009097832415225584
-0.0941375,-0.0005777697384529688
-0.0941125,-0.0009097832415225584
-0.0940875,-0.0005777697384529688
-0.09406250000000001,-0.0009097832415224075
-0.0940375,-0.0009097832415225584
-0.0940125,-0.0009097832415225584
-0.0939875,-0.0009097832415225584
-0.0939625,-0.0009097832415225584
-0.09393750000000001,-0.0009097832415225584
-0.0939125,-0.0009097832415225584
-0.0938875,-0.0009097832415225584
-0.0938625,-0.0005777697384529688
-0.0938375,-0.0009097832415225584
-0.09381250000000001,-0.0009097832415225584
-0.0937875,-0.0009097832415225584
-0.0937625,-0.0009097832415225584
-0.0937375,-0.0009097832415225584
-0.0937125,-0.0009097832415225584
-0.09368750000000001,-0.0009097832415225584
-0.0936625,-0.0009097832415225584
-0.0936375,-0.0009097832415225584
-0.0936125,-0.0005777697384529688
-0.0935875,-0.0009097832415225584
-0.09356250000000001,-0.0009097832415225584
-0.0935375,-0.0009097832415225584
-0.0935125,-0.0009097832415225584
-0.0934875,-0.0009097832415225584
-0.0934625,-0.0009097832415225584
-0.09343750000000001,-0.0009097832415225584
-0.0934125,-0.0009097832415225584
-0.0933875,-0.0009097832415225584
-0.0933625,-0.0009097832415225584
-0.0933375,-0.0009097832415225584
-0.09331250000000001,-0.0009097832415225584
-0.0932875,-0.0009097832415225584
-0.0932625,-0.0009097832415225584
-0.0932375,-0.0009097832415225584
-0.0932125,-0.0009097832415225584
-0.09318750000000001,-0.0009097832415225584
-0.0931625,-0.0009097832415225584
-0.0931375,-0.0009097832415225584
-0.0931125,-0.0009097832415225584
-0.0930875,-0.0009097832415225584
-0.09306250000000001,-0.0009097832415225584
-0.0930375,-0.0009097832415225584
-0.0930125,-0.0009097832415225584
-0.0929875,-0.0009097832415225584
-0.0929625,-0.0009097832415225584
-0.09293750000000001,-0.0005777697384529688
-0.0929125,-0.0005777697384529688
-0.0928875,-0.0005777697384529688
-0.0928625,-0.0005777697384529688
-0.0928375,-0.0005777697384529688
-0.09281250000000001,-0.0005777697384529688
-0.09278749999999999,-0.0005777697384529688
-0.0927625,-0.0005777697384529688
-0.0927375,-0.0005777697384529688
-0.0927125,-0.0009097832415225584
-0.09268750000000001,-0.0005777697384529688
-0.09266249999999999,-0.0009097832415225584
-0.0926375,-0.0009097832415225584
-0.0926125,-0.0005777697384529688
-0.0925875,-0.0005777697384529688
-0.09256250000000001,-0.0009097832415225584
-0.09253749999999999,-0.0005777697384529688
-0.0925125,-0.0005777697384529688
-0.0924875,-0.0009097832415225584
-0.0924625,-0.0009097832415225584
-0.09243750000000001,-0.0009097832415225584
-0.09241249999999999,-0.0005777697384529688
-0.0923875,-0.0005777697384529688
-0.0923625,-0.0005777697384529688
-0.0923375,-0.0005777697384529688
-0.09231250000000001,-0.0005777697384529688
-0.09228749999999999,-0.0005777697384529688
-0.0922625,-0.0005777697384529688
-0.0922375,-0.0005777697384529688
-0.0922125,-0.0005777697384529688
-0.09218750000000001,-0.0005777697384529688
-0.09216250000000001,-0.0009097832415224075
-0.0921375,-0.0005777697384529688
-0.0921125,-0.0009097832415225584
-0.0920875,-0.0005777697384529688
-0.09206250000000001,-0.0005777697384529688
-0.09203750000000001,-0.0005777697384529688
-0.0920125,-0.0009097832415225584
-0.0919875,-0.0005777697384529688
-0.0919625,-0.0009097832415225584
-0.09193750000000001,-0.0005777697384529688
-0.09191250000000001,-0.0005777697384529688
-0.0918875,-0.0009097832415225584
-0.0918625,-0.0009097832415225584
-0.0918375,-0.0009097832415225584
-0.09181250000000001,-0.0009097832415225584
-0.09178750000000001,-0.0009097832415225584
-0.0917625,-0.0009097832415225584
-0.0917375,-0.0009097832415225584
-0.0917125,-0.0009097832415225584
-0.09168750000000001,-0.0009097832415225584
-0.09166250000000001,-0.0009097832415225584
-0.0916375,-0.0009097832415225584
-0.0916125,-0.0009097832415225584
-0.0915875,-0.0009097832415225584
-0.0915625,-0.0009097832415225584
-0.09153750000000001,-0.0009097832415225584
-0.0915125,-0.0009097832415225584
-0.0914875,-0.0009097832415225584
-0.0914625,-0.0009097832415225584
-0.0914375,-0.0009097832415225584
-0.09141250000000001,-0.0009097832415225584
-0.0913875,-0.0005777697384529688
-0.0913625,-0.0009097832415225584
-0.0913375,-0.0009097832415225584
-0.0913125,-0.0009097832415225584
-0.09128750000000001,-0.0009097832415225584
-0.0912625,-0.0009097832415225584
-0.0912375,-0.0009097832415225584
-0.0912125,-0.0005777697384529688
-0.0911875,-0.0009097832415225584
-0.09116250000000001,-0.0009097832415225584
-0.0911375,-0.0009097832415225584
-0.0911125,-0.0009097832415225584
-0.0910875,-0.0009097832415225584
-0.0910625,-0.0005777697384529688
-0.09103750000000001,-0.0009097832415224075
-0.0910125,-0.0009097832415225584
-0.0909875,-0.0009097832415225584
-0.0909625,-0.0009097832415225584
-0.0909375,-0.001241796744592148
-0.09091250000000001,-0.0009097832415227093
-0.0908875,-0.0009097832415225584
-0.0908625,-0.0009097832415225584
-0.0908375,-0.0009097832415225584
-0.0908125,-0.0005777697384529688
-0.09078750000000001,-0.0009097832415224075
-0.0907625,-0.0009097832415225584
-0.0907375,-0.0005777697384529688
-0.0907125,-0.0005777697384529688
-0.0906875,-0.0009097832415225584
-0.09066250000000001,-0.0009097832415225584
-0.0906375,-0.0005777697384529688
