#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-02-11 09:30:11.698
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 50 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.1023845,8.625726768621039e-05
-0.1023595,-0.0002457562353833792
-0.1023345,-0.0002457562353833792
-0.1023095,-0.0002457562353833792
-0.1022845,-0.0002457562353833792
-0.1022595,-0.0002457562353833792
-0.1022345,-0.0002457562353832282
-0.1022095,8.625726768621039e-05
-0.1021845,-0.0002457562353833792
-0.1021595,8.625726768621039e-05
-0.1021345,8.625726768621039e-05
-0.1021095,8.625726768621039e-05
-0.1020845,8.625726768621039e-05
-0.1020595,-0.0002457562353833792
-0.1020345,8.625726768621039e-05
-0.1020095,-0.0002457562353833792
-0.1019845,-0.0002457562353833792
-0.1019595,-0.0002457562353833792
-0.1019345,-0.0002457562353833792
-0.1019095,-0.0002457562353833792
-0.1018845,-0.0002457562353833792
-0.1018595,-0.0002457562353833792
-0.1018345,-0.0002457562353833792
-0.1018095,-0.0002457562353833792
-0.1017845,-0.0002457562353833792
-0.1017595,-0.0002457562353833792
-0.1017345,-0.0002457562353833792
-0.1017095,-0.0002457562353833792
-0.1016845,-0.0002457562353833792
-0.1016595,-0.0002457562353833792
-0.1016345,-0.0005777697384529688
-0.1016095,-0.0005777697384529688
-0.1015845,-0.0005777697384529688
-0.1015595,-0.0005777697384529688
-0.1015345,-0.0009097832415225584
-0.1015095,-0.0009097832415225584
-0.1014845,-0.0009097832415225584
-0.1014595,-0.0009097832415225584
-0.1014345,-0.0009097832415225584
-0.1014095,-0.0009097832415225584
-0.1013845,-0.0009097832415225584
-0.1013595,-0.0009097832415225584
-0.1013345,-0.001241796744592148
-0.1013095,-0.001241796744592148
-0.1012845,-0.001241796744592148
-0.1012595,-0.001241796744592148
-0.1012345,-0.001241796744592148
-0.1012095,-0.001241796744592148
-0.1011845,-0.001241796744592148
-0.1011595,-0.001241796744592148
-0.1011345,-0.001241796744592148
-0.1011095,-0.001241796744592148
-0.1010845,-0.001573810247661738
-0.1010595,-0.001241796744592148
-0.1010345,-0.001241796744592148
-0.1010095,-0.001573810247661738
-0.1009845,-0.001241796744592299
-0.1009595,-0.001241796744592148
-0.1009345,-0.001241796744592148
-0.1009095,-0.001241796744592148
-0.1008845,-0.001241796744592148
-0.1008595,-0.001241796744592148
-0.1008345,-0.001241796744592148
-0.1008095,-0.001241796744592148
-0.1007845,-0.001573810247661738
-0.1007595,-0.001573810247661738
-0.1007345,-0.001241796744592299
-0.1007095,-0.001573810247661738
-0.1006845,-0.001573810247661738
-0.1006595,-0.001573810247661738
-0.1006345,-0.001573810247661738
-0.1006095,-0.001573810247661738
-0.1005845,-0.001573810247661738
-0.1005595,-0.001241796744592148
-0.1005345,-0.001573810247661738
-0.1005095,-0.001573810247661738
-0.1004845,-0.001573810247661738
-0.1004595,-0.001573810247661738
-0.1004345,-0.001573810247661738
