#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-09 15:35:09.660
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 280 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 250 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-2.589756097560977e-06,0.001922980221035721,0.2894802127259219
-2.579756097560975e-06,-0.009365651134174979,0.2416894235377081
-2.569756097560974e-06,-0.00172922404094391,0.03891044996827674
-2.559756097560979e-06,-0.001065186902402708,0.04787122294105871
-2.549756097560977e-06,-0.004053354025840532,0.03758292804637784
-2.539756097560976e-06,0.001922980221035721,0.07143473705469602
-2.529756097560974e-06,-0.003721335456569629,0.2831744835969215
-2.519756097560979e-06,-0.002725279748757374,0.2801875592726595
-2.509756097560978e-06,0.002254998790306624,0.2878208103235534
-2.499756097560976e-06,-0.004385372595111435,0.2649210571708676
-2.489756097560974e-06,0.000262887374681206,0.04853498390201019
-2.479756097560973e-06,-0.0007331683331327107,0.04687558149963712
-2.469756097560978e-06,-0.003389316887298726,0.03691916708543043
-2.459756097560976e-06,0.000262887374681206,0.05284943014816839
-2.449756097560975e-06,-0.001729224040944212,0.2698992643779732
-2.439756097560973e-06,-0.003721335456569177,0.2801875592726616
-2.429756097560978e-06,-0.002725279748757374,0.2878208103235499
-2.419756097560977e-06,-6.913119458969689e-05,0.2798556787921844
-2.409756097560975e-06,-0.002061242610215115,0.06446524696474817
-2.399756097560974e-06,-0.001065186902402708,0.04355677669490171
-2.389756097560979e-06,-0.00172922404094391,0.037251047565907
-2.379756097560977e-06,-0.003721335456569629,0.04422053765585199
-2.369756097560976e-06,-0.0007331683331315028,0.2506501965104981
-2.359756097560974e-06,-6.913119458969689e-05,0.2828426031164478
-2.349756097560979e-06,-0.001065186902401953,0.2868251688821304
-2.339756097560978e-06,0.001590961651764818,0.2861614079211849
-2.329756097560976e-06,-0.002061242610215115,0.08935628300027623
-2.319756097560974e-06,-6.913119458969689e-05,0.04123361333158863
-2.309756097560973e-06,0.0002628873746789413,0.03990609140969349
-2.299756097560978e-06,-0.004717391164382338,0.03924233044874638
-2.289756097560976e-06,-0.0004011497638605998,0.2231041166311804
-2.279756097560975e-06,-0.004053354025840532,0.2838382445578689
-2.269756097560973e-06,-0.005381428302919464,0.2841701250383439
-2.259756097560978e-06,0.004911147344469167,0.2871570493626047
-2.249756097560977e-06,-0.003057298318027823,0.1232080920085944
-2.239756097560975e-06,0.001922980221035721,0.04056985237064121
-2.229756097560974e-06,0.001922980221032701,0.04488429861679594
-2.219756097560979e-06,-0.004717391164379319,0.0372510475659076
-2.209756097560977e-06,0.003915091636661138,0.1902479490642834
-2.199756097560975e-06,-0.003057298318027823,0.2858295274407112
-2.189756097560974e-06,-0.005049409733653241,0.2821788421555004
-2.179756097560979e-06,0.003915091636657062,0.2884845712844979
-2.169756097560977e-06,-0.005049409733653241,0.160046825341176
-2.159756097560976e-06,0.00291903592884843,0.03691916708543043
-2.149756097560974e-06,0.003251054498119332,0.04654370101916794
-2.139756097560973e-06,-0.006045465441460514,0.03924233044879739
-2.129756097560978e-06,0.005907203052286556,0.1514179328488596
-2.119756097560976e-06,-0.004053354025840532,0.2864932884016586
-2.109756097560975e-06,-0.004053354025840532,0.2805194397531318
-2.099756097560973e-06,0.001258943082488932,0.2884845712844593
-2.089756097560978e-06,-0.009697669703445882,0.1972174391542312
-2.079756097560977e-06,0.000262887374681206,0.03691916708543043
-2.069756097560975e-06,-0.0004011497638605998,0.04853498390201019
-2.059756097560973e-06,-0.005049409733648259,0.03824668900735891
-2.049756097560979e-06,0.005907203052281574,0.1122560361529284
-2.039756097560977e-06,-0.003389316887298726,0.2888164517649746
-2.029756097560975e-06,-0.004053354025840532,0.2781962763898159
-2.019756097560974e-06,0.003915091636661138,0.2874889298430797
-2.009756097560979e-06,-0.01069372541125195,0.2310692481625751
-1.999756097560977e-06,0.000262887374681206,0.03791480852685155
-1.989756097560976e-06,0.0005949059439521089,0.0488668643824839
-1.979756097560974e-06,-0.004385372595111435,0.03924233044874638
-1.969756097560973e-06,0.003251054498116917,0.08105927098852651
-1.959756097560978e-06,-0.002061242610215115,0.2854976469602374
-1.949756097560976e-06,-0.001397205471673309,0.2778643959093422
-1.939756097560975e-06,0.001258943082493915,0.2891483322454482
-1.929756097560973e-06,-0.004717391164380224,0.2592790890027163
-1.919756097560978e-06,-6.913119458969689e-05,0.04322489621443087
-1.909756097560977e-06,-0.002061242610215115,0.04720746198011536
-1.899756097560975e-06,-0.003389316887298726,0.03857856948779897
-1.889756097560973e-06,-6.913119459075379e-05,0.05815951783584657
-1.879756097560979e-06,-0.002393261179484961,0.2755412325459274
-1.869756097560977e-06,-0.004717391164382338,0.2798556787921844
-1.859756097560975e-06,-0.002061242610215115,0.2884845712845008
-1.849756097560974e-06,-0.0007331683331315028,0.2762049935069736
-1.839756097560979e-06,-0.001397205471673007,0.05749575687489974
-1.829756097560977e-06,-0.0007331683331315028,0.04488429861679941
-1.819756097560976e-06,-0.001729224040944212,0.03857856948779897
-1.809756097560974e-06,-0.003057298318027823,0.04521617909727312
