#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-08 16:15:56.889
#Sample rate: 7.14286e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 707 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 2 (V)
-0.0005973795212095758,3.351344089859779
-0.0005972395212095758,3.347695816190119
-0.0005970995212095757,3.351344089859777
-0.0005969595212095758,3.347695816190119
-0.0005968195212095758,3.344047542520459
-0.0005966795212095757,3.3403992688508
-0.0005965395212095758,3.3403992688508
-0.0005963995212095758,3.3403992688508
-0.0005962595212095757,3.344047542520459
-0.0005961195212095758,3.344047542520459
-0.0005959795212095758,3.344047542520459
-0.0005958395212095757,3.340399268850801
-0.0005956995212095758,3.344047542520459
-0.0005955595212095758,3.347695816190119
-0.0005954195212095757,3.347695816190119
-0.0005952795212095758,3.347695816190119
-0.0005951395212095758,3.3403992688508
-0.0005949995212095757,3.344047542520459
-0.0005948595212095758,3.344047542520459
-0.0005947195212095758,3.344047542520459
-0.0005945795212095757,3.344047542520459
-0.0005944395212095758,3.344047542520459
-0.0005942995212095758,3.351344089859779
-0.0005941595212095757,3.347695816190119
-0.0005940195212095758,3.347695816190119
-0.0005938795212095758,3.347695816190119
-0.0005937395212095757,3.354992363529439
-0.0005935995212095758,3.354992363529439
-0.0005934595212095758,3.354992363529439
-0.0005933195212095757,3.344047542520459
-0.0005931795212095758,3.344047542520459
-0.0005930395212095758,3.347695816190119
-0.0005928995212095757,3.347695816190121
-0.0005927595212095758,3.351344089859777
-0.0005926195212095758,3.351344089859779
-0.0005924795212095757,3.358640637199096
-0.0005923395212095758,3.351344089859782
-0.0005921995212095758,3.354992363529439
