#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-05-15 15:15:38.923
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.000416847397452051,3.309703627684023,3.333102721511493
-0.000416777397452051,3.302404301566924,3.318509626832854
-0.000416707397452051,3.306053964625465,3.31850962683284
-0.000416637397452051,3.302404301566917,3.314861353163181
-0.0004165673974520509,3.298754638508367,3.3221579005025
-0.0004164973974520509,3.302404301566915,3.325806174172157
-0.000416427397452051,3.29875463850837,3.318509626832847
-0.000416357397452051,3.29510497544982,3.31850962683284
-0.000416287397452051,3.295104975449817,3.322157900502499
-0.000416217397452051,3.291455312391268,3.32945444784182
-0.0004161473974520509,3.298754638508367,3.32580617417216
-0.0004160773974520509,3.306053964625465,3.322157900502502
-0.000416007397452051,3.30240430156692,3.325806174172157
-0.000415937397452051,3.295104975449824,3.329454447841817
-0.000415867397452051,3.291455312391269,3.318509626832845
-0.000415797397452051,3.295104975449817,3.32580617417216
-0.0004157273974520509,3.291455312391268,3.32580617417216
-0.0004156573974520509,3.295104975449819,3.333102721511475
-0.000415587397452051,3.298754638508364,3.32215790050251
-0.000415517397452051,3.302404301566914,3.325806174172157
-0.000415447397452051,3.298754638508369,3.329454447841818
-0.000415377397452051,3.298754638508367,3.318509626832845
-0.0004153073974520509,3.298754638508367,3.32945444784182
-0.0004152373974520509,3.306053964625463,3.325806174172157
-0.000415167397452051,3.298754638508373,3.318509626832847
-0.000415097397452051,3.302404301566914,3.31850962683284
-0.000415027397452051,3.298754638508369,3.314861353163182
-0.000414957397452051,3.302404301566915,3.318509626832839
-0.0004148873974520509,3.306053964625467,3.314861353163181
-0.0004148173974520509,3.30240430156692,3.314861353163182
-0.000414747397452051,3.309703627684009,3.318509626832837
-0.000414677397452051,3.302404301566924,3.322157900502497
-0.000414607397452051,3.29510497544982,3.318509626832842
-0.000414537397452051,3.306053964625462,3.314861353163182
-0.0004144673974520509,3.302404301566917,3.314861353163181
-0.0004143973974520509,3.302404301566917,3.318509626832839
-0.000414327397452051,3.302404301566917,3.314861353163184
-0.000414257397452051,3.306053964625463,3.314861353163181
-0.000414187397452051,3.306053964625467,3.311213079493522
-0.000414117397452051,3.306053964625467,3.318509626832837
-0.0004140473974520509,3.313353290742566,3.311213079493521
-0.0004139773974520509,3.306053964625468,3.311213079493518
-0.000413907397452051,3.309703627684013,3.303916532154208
-0.000413837397452051,3.30605396462547,3.314861353163171
-0.000413767397452051,3.309703627684014,3.311213079493522
-0.000413697397452051,3.306053964625468,3.307564805823863
-0.0004136273974520509,3.309703627684016,3.314861353163181
-0.0004135573974520509,3.30240430156692,3.322157900502497
-0.000413487397452051,3.309703627684009,3.314861353163187
-0.000413417397452051,3.298754638508377,3.318509626832837
-0.000413347397452051,3.309703627684011,3.307564805823866
-0.000413277397452051,3.41919351944046,3.063130469956763
-0.0004132073974520509,3.127220474756527,-0.4136743372291645
-0.0004131373974520509,3.320652616859681,0.08613915551423541
-0.000413067397452051,3.353499584386584,0.09343570285354512
-0.000412997397452051,3.302404301566964,0.002228861112138977
-0.000412927397452051,3.29510497544982,-0.008715959896918486
-0.000412857397452051,3.306053964625462,0.009525408451367389
-0.0004127873974520509,3.302404301566917,0.009525408451375682
-0.0004127173974520509,3.302404301566917,0.002228861112056024
-0.000412647397452051,3.309703627684009,-0.005067686227256998
-0.000412577397452051,3.30605396462547,-0.005067686227263634
-0.000412507397452051,3.313353290742563,-0.005067686227263634
-0.000412437397452051,3.309703627684018,-0.008715959896921805
-0.0004123673974520509,3.309703627684016,-0.005067686227263634
-0.0004122973974520509,3.313353290742566,-0.01966078090590295
-0.000412227397452051,3.313353290742566,-0.008715959896933417
-0.000412157397452051,3.309703627684019,-0.01236423356657997
-0.000412087397452051,3.313353290742564,-0.008715959896925122
-0.000412017397452051,3.313353290742566,-0.01236423356658163
-0.0004119473974520509,3.320652616859666,-0.01966078090590295
-0.0004118773974520509,3.313353290742566,-0.01601250723624312
-0.000411807397452051,3.317002953801113,-0.005067686227273587
-0.000411737397452051,3.313353290742569,-0.01601250723623317
-0.000411667397452051,3.327951942976759,-0.008715959896926782
-0.000411597397452051,3.313353290742573,-0.01236423356658163
-0.0004115273974520509,3.313353290742566,-0.01601250723624312
-0.0004114573974520509,3.313353290742566,-0.01236423356658329
-0.000411387397452051,3.317002953801113,-0.008715959896926782
-0.000411317397452051,3.320652616859662,-0.008715959896923463
-0.000411247397452051,3.324302279918214,-0.0160125072362398
-0.000411177397452051,3.320652616859667,-0.008715959896926782
-0.0004111073974520509,3.313353290742566,-0.01601250723624312
-0.0004110373974520509,3.317002953801116,-0.01236423356658329
-0.000410967397452051,3.313353290742569,-0.01236423356658329
-0.000410897397452051,3.317002953801113,-0.008715959896926782
-0.000410827397452051,3.317002953801116,-0.005067686227265293
-0.000410757397452051,3.313353290742568,-0.005067686227263634
-0.0004106873974520509,3.324302279918216,-0.008715959896923463
-0.0004106173974520509,3.317002953801116,-0.005067686227263634
-0.000410547397452051,3.317002953801116,-0.005067686227263634
-0.000410477397452051,3.324302279918209,-0.005067686227263634
-0.000410407397452051,3.309703627684023,-0.005067686227263634
-0.000410337397452051,3.317002953801113,0.002228861112052706
